industry_code,industry_name,industry_level,parent_industry,trade_date,available_date,source,data_status,constituent_count,pe_ttm,pb,dividend_yield,industry_close,return_20d,return_60d,return_120d,return_252d,drawdown_252d,volatility_60d,avg_amount_60d,history_days,history_fetch_status,history_latest_date,history_age_calendar_days,history_fresh
801737,电池,second,电力设备,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,97,26.56,3.5,0.013999999999999999,22964.84,-0.15471524213813437,-0.18334575599986347,-0.03745707506462048,0.41788905010341737,-0.2403671666969882,0.3633056771325778,1122.6199868978265,1104,ok,2026-07-15,1,True
801738,电网设备,second,电力设备,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,125,27.74,2.77,0.015300000000000001,5245.02,-0.17357791342217788,-0.2225856894060102,-0.13892550790067715,0.2838606239367498,-0.30816533268612845,0.32601890810469647,605.7752651659865,1104,ok,2026-07-15,1,True
801072,通用设备,second,机械设备,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,219,64.47,5.19,0.84,8455.09,-0.08465175998319807,0.031309767759562845,0.050966680173920365,0.5445964362310423,-0.12413165129726578,0.36027210271957255,952.0906522831599,6412,ok,2026-07-15,1,True
801074,专用设备,second,机械设备,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,178,38.26,3.22,0.0118,11990.57,-0.1182269777361058,-0.07408868866611795,-0.041190849925114126,0.31768704716963514,-0.1438884466133794,0.31119471558338124,569.3268681257467,6412,ok,2026-07-15,1,True
801076,轨交设备Ⅱ,second,机械设备,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,31,15.0,1.11,0.037000000000000005,5443.48,-0.05182867882592501,-0.09295288369891963,-0.1517465343572355,-0.07524148967616784,-0.19324537820605936,0.18735219333768688,61.85699284037832,2998,ok,2026-07-15,1,True
801077,工程机械,second,机械设备,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,28,20.67,2.11,0.0231,21948.71,-0.037837773859737966,-0.08071464710770393,-0.1601951981768852,0.13182545039760596,-0.20424742942311258,0.29291290799363495,106.91956465515,1104,ok,2026-07-15,1,True
801078,自动化设备,second,机械设备,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,79,67.53,5.56,0.51,22250.17,-0.13376376185809957,0.13429663695087068,0.24462201537725736,0.6620195212972166,-0.16734762765118238,0.4363854691928259,706.564982581655,1104,ok,2026-07-15,1,True
801741,航天装备Ⅱ,second,国防军工,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,9,334.1,7.45,0.14,28204.26,-0.08721655396680439,-0.19258122851681547,-0.38094983070876687,0.7933096762420448,-0.41557287896912687,0.6467626217009068,140.88016845601666,2998,ok,2026-07-15,1,True
801742,航空装备Ⅱ,second,国防军工,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,45,56.18,2.84,0.78,8102.33,-0.13814810441790137,-0.23172626977617428,-0.30012654564929153,-0.14528416930743615,-0.35714671088648575,0.32290485794793344,252.28810600443333,2998,ok,2026-07-15,1,True
801743,地面兵装Ⅱ,second,国防军工,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,12,103.83,2.78,0.65,13836.71,-0.19816426358156947,-0.2833969055480029,-0.3946955018769339,-0.3013512776597378,-0.456956088149448,0.3259069044346397,46.95749538803499,2998,ok,2026-07-15,1,True
801744,航海装备Ⅱ,second,国防军工,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,10,28.44,2.46,0.49,3108.27,-0.03730282372836213,0.010096841284284563,-0.040032243220121666,0.0005601104769630272,-0.17531519962643005,0.414375760853166,91.19978610650668,2998,ok,2026-07-15,1,True
801745,军工电子Ⅱ,second,国防军工,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,62,57.6,4.93,0.84,6060.67,-0.10655708704945821,-0.14919097849066876,-0.27369459237919025,0.0701034495544377,-0.3129621547478023,0.38996834580976486,397.1685291394466,1104,ok,2026-07-15,1,True
801101,计算机设备,second,计算机,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,84,31.19,3.5,0.0184,2954.56,0.010935468418531435,-0.04317835156045069,-0.10855522198922862,0.10978142876996877,-0.1370902028359059,0.3259411013554725,438.60136674088665,6412,ok,2026-07-15,1,True
801103,IT服务Ⅱ,second,计算机,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,119,75.24,3.55,0.72,4670.35,-0.07550956983734547,-0.20177783398906834,-0.2732443241056284,-0.09807462052450644,-0.3050488066186535,0.36467034633876544,595.56025307727,1104,ok,2026-07-15,1,True
801104,软件开发,second,计算机,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,131,57.2,4.49,0.72,5550.12,-0.058246611882125654,-0.1774260959263464,-0.3364997352033674,-0.1574092488655634,-0.35741973130305515,0.3096438587980844,533.1067914307849,1104,ok,2026-07-15,1,True
801764,游戏Ⅱ,second,传媒,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,26,18.57,3.04,0.0219,2876.1,0.057770814484630506,-0.16626324409722726,-0.32036494849745856,-0.0002989266447918082,-0.32036494849745856,0.30004516939931297,166.70277782674833,1104,ok,2026-07-15,1,True
801765,广告营销,second,传媒,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,28,41.99,3.97,0.0437,2358.19,-0.11218742705690121,-0.2275599346197562,-0.3894922424126317,-0.06764744256293265,-0.41412593041628987,0.397198439882764,177.7827609787667,1104,ok,2026-07-15,1,True
801766,影视院线,second,传媒,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,19,109.86,2.27,0.77,1041.91,-0.03465176825935079,-0.17770780061243163,-0.312152580640902,-0.20420539690056283,-0.44137106459637976,0.3526217557892229,69.45633143115998,1104,ok,2026-07-15,1,True
801767,数字媒体,second,传媒,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,14,43.74,2.14,0.91,1508.02,-0.10968237100011802,-0.18697670406452338,-0.3556516463138465,-0.14639088891907803,-0.38565765941931573,0.34609207389735475,46.792282846885,1104,ok,2026-07-15,1,True
801769,出版,second,传媒,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,29,15.42,1.13,0.0395,1371.68,-0.050102837198673145,-0.16964501912925567,-0.24851805182709685,-0.1818827051883839,-0.2986926667655134,0.22681039493319224,49.182703804791664,1104,ok,2026-07-15,1,True
801995,电视广播Ⅱ,second,传媒,2026-07-16,2026-07-16,akshare.sw_index_second_info|akshare.index_hist_sw,research_only,14,37.32,0.97,0.023700000000000002,948.12,-0.0778388367456111,-0.2142217802088513,-0.3716440562267628,-0.09177818436102048,-0.3716440562267628,0.3175006581300348,29.056330262794997,1104,ok,2026-07-15,1,True
