etf_code,exchange,fund_name,tracked_index_code,tracked_index_name,scale_cny_100m,industry_code,dominant_industry_weight,classified_weight_coverage,component_count,weight_date,industry_name,mapping_status,mapping_confidence,mapping_source
562970,SSE,光伏ETF易方达,931151,中证光伏产业指数,3.8564,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
562990,SSE,碳中和ETF易方达,931755,中证上海环交所碳中和指数,3.6725,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563010,SSE,电信ETF易方达,931235,中证电信主题指数,2.101,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563020,SSE,红利低波ETF易方达,H30269,中证红利低波动指数,125.0822,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563050,SSE,央企科技ETF易方达,932038,中证国新央企科技引领指数,1.5542,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563060,SSE,央企50ETF易方达,931823,中证国资央企50指数,2.1087,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563080,SSE,中证A50ETF易方达,930050,中证A50指数,14.3889,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563150,SSE,油气ETF银华,931248,中证油气资源指数,0.6281,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563180,SSE,高股息ETF银华,H30366,中证高股息策略指数,1.2235,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563200,SSE,中证2000ETF富国,932000,中证2000指数,0.6175,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563220,SSE,A500ETF富国,000510,中证A500指数,72.7032,801081,0.15436617464698588,1.0,500.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563230,SSE,卫星ETF富国,931594,中证卫星产业指数,53.6099,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563300,SSE,中证2000ETF华泰柏瑞,932000,中证2000指数,34.8694,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563320,SSE,通用航空ETF华泰柏瑞,931855,中证通用航空主题指数,2.3066,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563330,SSE,A股ETF华泰柏瑞,930903,中证A股指数,1.4469,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563350,SSE,A50ETF华泰柏瑞,930050,中证A50指数,2.4937,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563360,SSE,A500ETF华泰柏瑞,000510,中证A500指数,316.9441,801081,0.15436617464698588,1.0,500.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563380,SSE,航空航天ETF华泰柏瑞,932088,中证全指航空航天指数,10.8772,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563390,SSE,全指现金流ETF华泰柏瑞,932365,中证全指自由现金流指数,22.0059,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563500,SSE,A500ETF华宝,000510,中证A500指数,4.5896,801081,0.15436617464698588,1.0,500.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563510,SSE,A500红利低波ETF易方达,932422,中证A500红利低波动指数,2.9724,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563520,SSE,沪深300ETF永赢,000300,沪深300指数,4.6519,801081,0.14027877769778416,1.0,300.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563530,SSE,卫星ETF易方达,931594,中证卫星产业指数,25.2922,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563560,SSE,科技成长ETF兴业,931696,中证科技优势成长50策略指数,0.8004,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563570,SSE,金融科技ETF兴业,930986,中证金融科技主题指数,0.8008,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563580,SSE,自由现金流800ETF万家,932368,中证800自由现金流指数,2.7107,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563590,SSE,A500红利低波动ETF国寿,932422,中证A500红利低波动指数,0.6439,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563620,SSE,全指现金流ETF兴业,932365,中证全指自由现金流指数,0.579,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563650,SSE,中证A500ETF兴业,000510,中证A500指数,1.7403,801081,0.15436617464698588,1.0,500.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563660,SSE,A500ETF银河,000510,中证A500指数,0.7925,801081,0.15436617464698588,1.0,500.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563670,SSE,金融科技ETF鹏华,930986,中证金融科技主题指数,1.2492,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563680,SSE,800现金流ETF汇添富,932368,中证800自由现金流指数,1.2562,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563690,SSE,红利低波ETF永赢,H30269,中证红利低波动指数,0.3541,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563700,SSE,红利价值ETF易方达,H30270,中证红利价值指数,4.0851,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563750,SSE,中证500ETF汇添富,000905,中证小盘500指数,4.1444,801081,0.1757558180236221,1.0,500.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563760,SSE,全指现金流ETF中银,932365,中证全指自由现金流指数,8.4447,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563770,SSE,全指现金流ETF招商,932365,中证全指自由现金流指数,0.3553,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563780,SSE,现金流全指ETF方正富邦,932365,中证全指自由现金流指数,3.7879,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563790,SSE,卫星ETF鹏华,931594,中证卫星产业指数,12.4606,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563800,SSE,A500ETF广发,000510,中证A500指数,94.0318,801081,0.15436617464698588,1.0,500.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563830,SSE,全指现金流ETF博时,932365,中证全指自由现金流指数,1.4436,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563850,SSE,食品ETF广发,H30192,中证全指食品指数,0.7765,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563860,SSE,中证A500ETF海富通,000510,中证A500指数,2.2419,801081,0.15436617464698588,1.0,500.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563870,SSE,通用航空ETF鹏华,931855,中证通用航空主题指数,0.8532,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563880,SSE,A500ETF汇添富,000510,中证A500指数,14.4121,801081,0.15436617464698588,1.0,500.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563890,SSE,国企红利ETF创金合信,000824,中证国有企业红利指数,0.2493,801951,0.16121161211612114,1.0,100.0,20260630,煤炭开采,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563900,SSE,300自由现金流ETF摩根,932366,沪深300自由现金流指数,5.4985,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563960,SSE,300质量ETF兴全,932431,沪深300质量指数,2.0898,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563980,SSE,800红利低波ETF鑫元,931848,中证800红利低波动指数,1.9289,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
563990,SSE,800现金流ETF富国,932368,中证800自由现金流指数,4.689,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
588000,SSE,科创50ETF华夏,000688,上证科创板50成份指数,700.9967,801081,0.8368783687836877,1.0,50.0,20260630,半导体,high_confidence_component_exposure,high,official_csi_closeweight+official_sws_stock_classification
588010,SSE,科创新材料ETF博时,000689,上证科创板新材料指数,12.6432,801081,0.2681526815268153,1.0,50.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
588020,SSE,科创成长ETF易方达,000690,上证科创板成长指数,15.7938,801081,0.47802912116484664,1.0,50.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
588030,SSE,科创100ETF博时,000698,上证科创板100指数,49.5092,801081,0.36961000000000005,1.0,100.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
588040,SSE,科创50ETF鹏华,000688,上证科创板50成份指数,1.8571,801081,0.8368783687836877,1.0,50.0,20260630,半导体,high_confidence_component_exposure,high,official_csi_closeweight+official_sws_stock_classification
588050,SSE,科创50ETF工银,000688,上证科创板50成份指数,107.3087,801081,0.8368783687836877,1.0,50.0,20260630,半导体,high_confidence_component_exposure,high,official_csi_closeweight+official_sws_stock_classification
588060,SSE,科创50ETF广发,000688,上证科创板50成份指数,71.1432,801081,0.8368783687836877,1.0,50.0,20260630,半导体,high_confidence_component_exposure,high,official_csi_closeweight+official_sws_stock_classification
588070,SSE,科创成长ETF万家,000690,上证科创板成长指数,0.7119,801081,0.47802912116484664,1.0,50.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
588080,SSE,科创50ETF易方达,000688,上证科创板50成份指数,436.6704,801081,0.8368783687836877,1.0,50.0,20260630,半导体,high_confidence_component_exposure,high,official_csi_closeweight+official_sws_stock_classification
588090,SSE,科创50ETF华泰柏瑞,000688,上证科创板50成份指数,53.4908,801081,0.8368783687836877,1.0,50.0,20260630,半导体,high_confidence_component_exposure,high,official_csi_closeweight+official_sws_stock_classification
588100,SSE,科创信息ETF嘉实,000682,上证科创板新一代信息技术指数,2.228,801081,0.8584285842858429,1.0,50.0,20260630,半导体,high_confidence_component_exposure,high,official_csi_closeweight+official_sws_stock_classification
588110,SSE,科创成长ETF广发,000690,上证科创板成长指数,5.3123,801081,0.47802912116484664,1.0,50.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
